Dataset,Model,Current_Reliability,Proposed_Reliability
MC1,Adaboost,0.892,0.8981
MC2,Adaboost,0.8142,0.7981
MW1,Adaboost,0.8619,0.8207
CM1,Adaboost,0.9006,0.8094
PC1,Adaboost,0.936,0.8091
PC2,Adaboost,0.862,0.8846
PC3,Adaboost,0.897,0.843
PC4,Adaboost,0.9024,0.8454
MC1,CatBoost,0.892,0.8743
MC2,CatBoost,0.8209,0.7723
MW1,CatBoost,0.7933,0.8142
CM1,CatBoost,0.864,0.8149
PC1,CatBoost,0.9305,0.8238
PC2,CatBoost,0.8572,0.8718
PC3,CatBoost,0.8703,0.825
PC4,CatBoost,0.8757,0.8282
MC1,Extra Trees,0.9054,0.8442
MC2,Extra Trees,0.8157,0.8183
MW1,Extra Trees,0.8302,0.8059
CM1,Extra Trees,0.8468,0.8116
PC1,Extra Trees,0.8967,0.8332
PC2,Extra Trees,0.8474,0.8216
PC3,Extra Trees,0.9007,0.8223
PC4,Extra Trees,0.8895,0.8276
MC1,Gradient Boosting,0.8839,0.885
MC2,Gradient Boosting,0.8403,0.7604
MW1,Gradient Boosting,0.8218,0.8182
CM1,Gradient Boosting,0.849,0.8086
PC1,Gradient Boosting,0.9315,0.8299
PC2,Gradient Boosting,0.8481,0.867
PC3,Gradient Boosting,0.8482,0.8268
PC4,Gradient Boosting,0.8707,0.8276
MC1,LightGBM,0.8713,0.8962
MC2,LightGBM,0.8276,0.7757
MW1,LightGBM,0.8542,0.8088
CM1,LightGBM,0.8681,0.8119
PC1,LightGBM,0.933,0.8579
PC2,LightGBM,0.8724,0.8808
PC3,LightGBM,0.8884,0.8299
PC4,LightGBM,0.887,0.8472
MC1,MLP,0.904,0.8421
MC2,MLP,0.823,0.8175
MW1,MLP,0.82,0.8136
CM1,MLP,0.8267,0.8034
PC1,MLP,0.8702,0.8137
PC2,MLP,0.8487,0.8482
PC3,MLP,0.7368,0.8387
PC4,MLP,0.8697,0.8391
MC1,Random Forest,0.8638,0.8667
MC2,Random Forest,0.7793,0.81
MW1,Random Forest,0.8508,0.8079
CM1,Random Forest,0.8544,0.81
PC1,Random Forest,0.9171,0.8136
PC2,Random Forest,0.8641,0.8503
PC3,Random Forest,0.9109,0.8016
PC4,Random Forest,0.893,0.8276
MC1,XGBoost,0.8686,0.8442
MC2,XGBoost,0.8386,0.7961
MW1,XGBoost,0.8623,0.8309
CM1,XGBoost,0.862,0.8348
PC1,XGBoost,0.9248,0.8244
PC2,XGBoost,0.8638,0.8753
PC3,XGBoost,0.8983,0.8395
PC4,XGBoost,0.8886,0.8374
